image,xmin,ymin,xmax,ymax
frame_000027.PNG,592.83,0.0,617.98,12.08
frame_000028.PNG,592.83,0.0,618.36,13.08
frame_000029.PNG,592.83,0.0,618.73,14.09
frame_000030.PNG,592.83,0.0,619.1,15.1
frame_000031.PNG,592.95,0.0,619.46,16.19
frame_000032.PNG,593.07,0.0,619.82,17.28
frame_000033.PNG,593.19,0.0,620.18,18.37
frame_000034.PNG,593.31,0.0,620.54,19.46
frame_000035.PNG,593.43,0.0,620.9,20.55
frame_000036.PNG,593.55,0.0,621.26,21.64
frame_000037.PNG,593.67,0.0,621.62,22.73
frame_000038.PNG,593.79,0.0,621.98,23.82
frame_000039.PNG,593.91,0.0,622.34,24.91
frame_000040.PNG,594.03,0.0,622.7,26.0
frame_000041.PNG,594.29,1.05,623.12,27.29
frame_000042.PNG,594.55,2.1,623.54,28.58
frame_000043.PNG,594.81,3.15,623.96,29.87
frame_000044.PNG,595.07,4.2,624.38,31.16
frame_000045.PNG,595.33,5.25,624.8,32.45
frame_000046.PNG,595.59,6.3,625.22,33.74
frame_000047.PNG,595.85,7.35,625.64,35.03
frame_000048.PNG,596.11,8.4,626.06,36.32
frame_000049.PNG,596.37,9.45,626.48,37.61
frame_000050.PNG,596.63,10.5,626.9,38.9
frame_000051.PNG,596.89,11.61,627.43,40.16
frame_000052.PNG,597.15,12.72,627.96,41.42
frame_000053.PNG,597.41,13.83,628.49,42.68
frame_000054.PNG,597.67,14.94,629.02,43.94
frame_000055.PNG,597.93,16.05,629.55,45.2
frame_000056.PNG,598.19,17.16,630.08,46.46
frame_000057.PNG,598.45,18.27,630.61,47.72
frame_000058.PNG,598.71,19.38,631.14,48.98
frame_000059.PNG,598.97,20.49,631.67,50.24
frame_000060.PNG,599.23,21.6,632.2,51.5
frame_000061.PNG,599.63,22.95,632.8,53.09
frame_000062.PNG,600.04,24.29,633.4,54.68
frame_000063.PNG,600.44,25.64,634.0,56.27
frame_000064.PNG,600.85,26.99,634.6,57.86
frame_000065.PNG,601.25,28.34,635.2,59.45
frame_000066.PNG,601.66,29.68,635.8,61.04
frame_000067.PNG,602.07,31.03,636.4,62.63
frame_000068.PNG,602.47,32.38,637.0,64.22
frame_000069.PNG,602.88,33.73,637.6,65.81
frame_000070.PNG,603.28,35.07,638.2,67.4
